2110,3,2,6541000
982,1,1,3044200
2556,4,2,7923600
1461,2,3,4529100
995,1,1,3084500
3399,4,4,10536900
977,1,2,3028700
3828,4,3,11866800
880,1,2,2728000
2457,3,3,7616700
3818,4,3,11835800
2443,3,2,7573300
3488,4,4,10812800
3512,4,2,10887200
899,1,1,2786900
828,1,2,2566800
1252,2,2,3881200
916,1,1,2839600
3482,4,3,10794200
889,2,1,2755900
1572,3,2,4873200
3921,4,3,12155100
868,1,1,2690800
2632,4,3,8159200
995,1,2,3084500
3079,4,4,9544900
1645,3,3,5099500
2218,3,2,6875800
1298,2,2,4023800
1342,3,2,4160200
3841,4,3,11907100
975,1,1,3022500
2267,3,2,7027700
1361,2,3,4219100
1102,2,1,3416200
1019,2,2,3158900
1376,3,4,4265600
1535,3,2,4758500
2796,4,3,8667600
934,1,2,2895400
2790,3,3,8649000
2554,3,2,7917400
845,1,1,2619500
2345,3,3,7269500
3256,4,2,10093600
2645,3,3,8199500
2459,3,1,7622900
2457,3,2,7616700
2458,3,3,7619800
2073,3,1,6426300
