40,1014,2,2,2433600
36,2682,4,3,7509600
32,906,2,1,2174400
32,990,3,1,2574000
33,1403,2,2,3367200
33,2734,4,4,7655200
37,3420,3,4,8892000
36,3080,3,4,8008000
39,861,1,2,1894200
36,3850,1,4,8470000
37,3733,1,4,8212600
30,893,4,2,2500400
39,2954,1,4,6498800
33,2765,4,4,7742000
35,959,4,1,2685200
30,1456,2,2,3494400
37,838,4,1,2346400
38,913,4,2,2556400
39,820,4,1,2296000
32,1886,4,3,5280800
36,3802,1,4,8364400
39,2860,1,4,6292000
35,885,4,2,2478000
30,877,3,1,2280200
40,1857,1,3,4085400
38,975,4,1,2730000
40,3142,2,4,7540800
34,1398,4,2,3914400
30,982,3,1,2553200
35,1968,3,3,5116800
30,849,4,2,2377200
37,2877,2,3,6904800
34,2790,4,3,7812000
33,1529,3,3,3975400
39,1340,4,2,3752000
40,3128,3,4,8132800
36,1172,3,2,3047200
37,1968,4,3,5510400
38,3792,1,4,8342400
39,3824,3,4,9942400
30,3110,4,4,8708000
33,839,4,1,2349200
36,906,4,1,2536800
30,917,4,1,2567600
39,1374,1,2,3022800
37,3537,3,4,9196200
36,2179,4,3,6101200
37,3283,4,4,9192400
35,2762,1,4,6076400
38,943,1,1,2074600
31,1215,2,2,2916000
32,904,3,1,2350400
31,1444,1,3,3176800
30,2578,4,4,7218400
39,952,4,1,2665600
30,881,3,1,2290600
35,1823,3,3,4739800
37,2128,4,3,5958400
38,1486,2,2,3566400
32,1256,3,2,3265600
38,3800,2,4,9120000
34,943,4,1,2640400
39,3298,1,4,7255600
30,2159,4,3,6045200
33,967,3,2,2514200
35,927,1,1,2039400
39,2314,4,3,6479200
39,1477,4,2,4135600
36,826,3,1,2147600
35,968,2,1,2323200
30,1339,1,2,2945800
30,884,4,1,2475200
37,845,2,2,2028000
33,2792,1,4,6142400
33,3679,2,4,8829600
35,968,2,2,2323200
37,957,4,1,2679600
37,931,2,2,2234400
31,2864,2,3,6873600
37,972,4,1,2721600
32,1724,1,3,3792800
40,1880,4,3,5264000
31,2645,3,4,6877000
31,1257,4,2,3519600
40,2103,4,3,5888400
37,2416,3,3,6281600
30,868,3,2,2256800
40,838,4,1,2346400
33,3591,1,4,7900200
38,2532,4,4,7089600
31,890,1,1,1958000
38,929,1,1,2043800
39,1213,3,2,3153800
40,3323,1,4,7310600
30,838,2,2,2011200
39,822,1,1,1808400
37,956,2,1,2294400
40,3830,4,4,10724000
36,1167,3,2,3034200
34,2632,4,3,7369600
35,1497,3,2,3892200
31,3109,1,4,6839800
38,898,2,2,2155200
37,2160,2,3,5184000
32,883,4,2,2472400
38,2883,2,3,6919200
37,1030,1,2,2266000
34,1485,3,2,3861000
36,1265,3,2,3289000
39,3568,1,4,7849600
30,3629,2,4,8709600
38,2873,2,4,6895200
36,873,3,1,2269800
36,1444,2,3,3465600
31,1748,3,3,4544800
33,1400,2,2,3360000
39,900,4,1,2520000
34,1164,4,2,3259200
36,1055,3,2,2743000
30,3231,3,4,8400600
34,3475,3,4,9035000
32,3391,1,4,7460200
38,1322,1,2,2908400
35,1715,2,3,4116000
37,873,3,1,2269800
35,3273,2,4,7855200
35,3523,3,4,9159800
39,3200,3,4,8320000
34,880,1,1,1936000
33,919,1,2,2021800
32,2995,2,4,7188000
35,884,2,2,2121600
37,1487,3,3,3866200
33,1469,3,2,3819400
33,3135,4,4,8778000
39,850,3,1,2210000
38,1383,4,3,3872400
30,3221,3,4,8374600
31,3783,2,4,9079200
40,1383,2,2,3319200
34,1221,1,2,2686200
36,3116,4,4,8724800
34,2502,2,4,6004800
33,962,1,1,2116400
38,1852,3,3,4815200
32,2984,1,4,6564800
33,2711,4,4,7590800
33,2968,4,4,8310400
37,851,1,1,1872200
32,2158,3,3,5610800
37,2624,3,3,6822400
33,3418,1,4,7519600
35,2959,3,3,7693400
40,2953,2,3,7087200
31,822,2,1,1972800
40,1271,2,2,3050400
31,834,2,1,2001600
35,804,1,1,1768800
36,3391,1,4,7460200
33,1222,4,2,3421600
34,3688,2,4,8851200
35,996,4,1,2788800
34,3984,2,4,9561600
33,967,3,2,2514200
40,3820,1,4,8404000
32,2519,3,4,6549400
34,3996,1,4,8791200
30,3566,4,4,9984800
36,933,2,2,2239200
37,2675,3,4,6955000
35,1498,4,2,4194400
30,1298,1,2,2855600
38,1192,1,2,2622400
36,1016,4,2,2844800
30,828,1,1,1821600
31,2811,4,4,7870800
38,813,3,1,2113800
33,882,3,1,2293200
32,919,2,1,2205600
37,3821,3,4,9934600
33,1838,2,3,4411200
33,860,4,1,2408000
38,965,1,2,2123000
39,2102,2,3,5044800
40,3999,4,4,11197200
40,3851,3,4,10012600
40,3352,2,4,8044800
34,996,3,1,2589600
30,1057,2,2,2536800
30,1322,2,2,3172800
39,3828,3,4,9952800
35,1093,2,2,2623200
37,2237,2,3,5368800
38,1184,2,2,2841600
39,1804,3,3,4690400
34,1236,2,2,2966400
37,869,4,2,2433200
30,2607,1,4,5735400
31,2633,1,4,5792600
38,2779,2,3,6669600
28,865,2,1,2422000
28,1678,2,3,4698400
23,845,4,1,2704000
27,1439,2,2,4029200
30,1375,3,2,4125000
26,3715,1,4,9659000
30,901,2,1,2522800
24,2926,1,3,7607600
22,2681,3,3,8043000
30,916,1,2,2381600
30,967,1,2,2514200
30,2778,4,4,8889600
23,1392,3,2,4176000
24,908,3,1,2724000
29,3882,4,4,12422400
25,1087,1,2,2826200
28,1569,1,3,4079400
21,2329,2,3,6521200
25,954,2,1,2671200
20,3924,4,4,12556800
29,2544,2,4,7123200
22,1107,1,2,2878200
24,1503,3,3,4509000
25,3382,4,4,10822400
30,921,2,1,2578800
28,3744,2,4,10483200
30,2711,4,4,8675200
21,826,4,1,2643200
27,1369,3,2,4107000
27,3382,3,4,10146000
27,2771,2,3,7758800
29,1917,4,3,6134400
27,3781,2,4,10586800
27,1629,4,3,5212800
27,1920,1,3,4992000
28,976,2,2,2732800
26,928,1,1,2412800
22,1851,3,3,5553000
24,3079,2,4,8621200
24,951,2,1,2662800
20,989,3,1,2967000
26,850,1,2,2210000
22,956,2,1,2676800
29,929,1,1,2415400
25,2797,2,3,7831600
27,3994,1,4,10384400
28,1965,2,3,5502000
29,2899,3,3,8697000
22,844,2,1,2363200
29,1987,2,3,5563600
23,1308,4,2,4185600
23,800,4,2,2560000
22,881,4,1,2819200
21,2879,3,4,8637000
21,1215,1,2,3159000
20,1162,2,2,3253600
27,2909,1,3,7563400
22,3191,3,4,9573000
23,966,4,1,3091200
20,1451,2,2,4062800
24,2642,2,3,7397600
22,967,3,1,2901000
20,3426,1,4,8907600
30,823,3,1,2469000
29,946,4,1,3027200
27,827,2,1,2315600
24,865,3,1,2595000
28,1540,4,3,4928000
30,1407,2,2,3939600
22,2567,4,4,8214400
27,2660,4,3,8512000
24,1100,2,2,3080000
29,956,3,1,2868000
28,3821,1,4,9934600
24,2599,1,4,6757400
23,3850,2,4,10780000
27,2914,2,4,8159200
22,1252,2,2,3505600
20,953,3,1,2859000
30,1364,4,3,4364800
21,995,3,1,2985000
27,844,3,1,2532000
21,1324,1,2,3442400
28,2912,1,3,7571200
30,3457,2,4,9679600
27,2048,1,3,5324800
24,3212,1,4,8351200
21,2478,4,3,7929600
29,815,3,2,2445000
23,3651,2,4,10222800
21,2813,2,4,7876400
29,2695,1,4,7007000
29,864,4,1,2764800
27,2622,2,4,7341600
21,1444,4,3,4620800
29,852,4,1,2726400
30,3727,4,4,11926400
20,812,1,2,2111200
20,962,4,2,3078400
22,3708,4,4,11865600
25,960,3,1,2880000
27,1817,3,3,5451000
27,846,2,1,2368800
21,850,3,1,2550000
30,1088,3,2,3264000
26,1135,1,2,2951000
20,933,4,1,2985600
26,1706,4,3,5459200
27,886,2,1,2480800
23,989,1,1,2571400
23,1451,1,2,3772600
22,1916,1,3,4981600
25,3301,3,4,9903000
25,1274,4,2,4076800
21,957,2,2,2679600
24,932,2,1,2609600
29,1181,4,2,3779200
20,2603,2,3,7288400
29,817,1,2,2124200
29,997,3,1,2991000
26,983,1,1,2555800
26,3547,4,4,11350400
27,1412,1,2,3671200
28,908,2,1,2542400
21,842,3,2,2526000
30,870,4,1,2784000
30,965,1,1,2509000
26,933,1,1,2425800
20,869,3,1,2607000
21,3586,1,4,9323600
25,1232,2,2,3449600
20,3037,3,4,9111000
24,2899,4,4,9276800
27,2835,2,4,7938000
30,2274,1,3,5912400
30,1228,4,2,3929600
23,871,1,1,2264600
27,1675,4,3,5360000
28,1940,1,3,5044000
30,2983,2,3,8352400
30,2116,3,3,6348000
23,3543,1,4,9211800
25,1170,4,2,3744000
23,805,4,1,2576000
29,3888,4,4,12441600
28,817,1,2,2124200
26,2028,1,3,5272800
23,1686,4,3,5395200
23,1355,2,2,3794000
24,973,2,1,2724400
21,1923,1,3,4999800
21,3280,4,4,10496000
23,873,1,1,2269800
28,832,1,2,2163200
23,1364,2,2,3819200
